dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
salinas,19,msobsdr3,0,1852.137,0.927,0.961,0.961,9|17|24|34|39|45|54|62|71|80|89|99|109|120|132|145|158|173|189,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,20,msobsdr3,0,1938.345,0.927,0.961,0.961,9|16|22|32|38|43|51|59|67|75|83|93|102|112|123|134|148|160|174|190,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,21,msobsdr3,0,1926.692,0.929,0.962,0.962,9|16|21|29|37|41|48|56|63|71|79|87|96|106|116|126|137|150|162|176|191,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,22,msobsdr3,0,1911.719,0.926,0.96,0.96,15|23|32|40|49|59|66|76|82|93|101|110|120|129|138|145|155|163|172|180|190|198,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,23,msobsdr3,0,1944.087,0.928,0.962,0.962,14|21|31|40|48|55|64|73|81|89|98|108|114|122|131|139|148|156|165|173|182|190|199,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,24,msobsdr3,0,1940.64,0.93,0.963,0.963,9|14|19|25|35|38|41|49|55|61|68|75|82|90|98|106|115|124|133|145|155|166|179|193,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,25,msobsdr3,0,1962.699,0.929,0.963,0.963,13|20|30|37|44|52|61|67|75|83|92|98|107|114|122|130|137|144|152|161|168|176|183|191|199,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,26,msobsdr3,0,2091.377,0.93,0.963,0.963,8|13|18|23|31|37|40|45|50|57|63|69|76|82|89|96|104|111|120|128|138|149|157|169|181|194,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,27,msobsdr3,0,2118.051,0.928,0.962,0.962,15|21|30|36|45|52|59|67|74|81|89|96|103|110|117|124|131|138|145|152|160|166|173|180|187|194|201,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,28,msobsdr3,0,2104.042,0.928,0.963,0.963,8|12|17|21|27|36|38|41|46|52|58|63|69|76|81|88|95|102|109|116|124|132|142|151|160|171|182|195,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,29,msobsdr3,0,2136.674,0.928,0.962,0.962,14|20|29|36|41|49|56|63|70|76|83|90|97|103|110|117|124|130|136|143|149|156|163|169|175|182|188|195|201,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,30,msobsdr3,0,2221.149,0.929,0.963,0.963,14|20|26|33|40|48|54|61|67|74|81|87|94|100|108|113|120|126|132|139|145|151|158|164|170|176|183|189|195|202,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,2,msobsdr3,0,197.809,0.555,0.433,0.433,47|90,1|1
ghisaconus,3,msobsdr3,0,208.271,0.605,0.496,0.496,30|62|90,1|1|1
ghisaconus,4,msobsdr3,0,213.614,0.637,0.539,0.539,22|46|70|99,1|1|1|1
ghisaconus,5,msobsdr3,0,207.225,0.642,0.563,0.563,26|47|71|91|113,1|1|1|1|1
ghisaconus,6,msobsdr3,0,208.281,0.648,0.562,0.562,17|31|47|63|83|106,1|1|1|1|1|1
